repo,repo_id,depsdev_scorecard_overall,depsdev_scorecard_date,depsdev_dependent_count,depsdev_license,depsdev_open_issues,bestpractices_badge_id,bestpractices_tiered_percentage,fetched_at
ljharb/side-channel,gh/225239081,3.8,2026-04-20,476327,MIT,0,,,2026-05-03T19:13:55+00:00
ljharb/side-channel-list,gh/901451610,,,477948,MIT,1,,,2026-05-03T19:13:55+00:00
ljharb/side-channel-map,gh/901191461,,,479572,MIT,1,,,2026-05-03T19:13:56+00:00
ljharb/side-channel-weakmap,gh/901188921,,,477949,MIT,1,,,2026-05-03T19:13:56+00:00
lodash/lodash,gh/3955647,7.4,2026-04-20,3338300,non-standard,141,,,2026-05-03T19:13:57+00:00
loganfsmyth/gensync,gh/132383032,2.1,2026-04-20,149217,MIT,14,,,2026-05-03T19:13:56+00:00
lokathor/bytemuck,gh/209673558,3.6,2026-04-20,9725,Apache-2.0,49,,,2026-05-03T19:13:56+00:00
lukeed/dequal,gh/174421655,3,2026-04-20,55241,MIT,12,,,2026-05-03T19:13:56+00:00
lukeed/escalade,gh/273568715,2.9,2026-04-20,303911,MIT,0,,,2026-05-03T19:13:57+00:00
lukeed/kleur,gh/140393403,3,2026-04-20,31838,MIT,13,,,2026-05-03T19:13:57+00:00
lxml/lxml,gh/1353927,5.2,2026-04-20,22701,BSD-3-Clause,14,,,2026-05-03T19:13:58+00:00
lydell/js-tokens,gh/17552490,2.9,2026-04-20,412,MIT,0,,,2026-05-03T19:13:58+00:00
lz4/lz4,gh/18106269,7.1,2026-04-20,,non-standard,68,,,2026-05-03T19:13:58+00:00
madler/zlib,gh/2359378,4.8,2026-04-20,,non-standard,229,in_progress,18,2026-05-03T19:13:59+00:00
mafintosh/end-of-stream,gh/14732255,2.5,2026-04-20,329842,MIT,7,,,2026-05-03T19:13:59+00:00
mafintosh/pump,gh/12118126,3.3,2026-04-20,234164,MIT,20,,,2026-05-03T19:14:00+00:00
mafintosh/tar-stream,gh/15340089,3.9,2026-04-20,29606,MIT,18,,,2026-05-03T19:14:01+00:00
marshallpierce/rust-base64,gh/47371310,4.4,2026-04-20,5178,Apache-2.0,26,,,2026-05-03T19:14:01+00:00
mathiasbynens/cssesc,gh/12001360,2,2026-04-20,129593,MIT,12,,,2026-05-03T19:14:01+00:00
mathiasbynens/emoji-regex,gh/24557614,3.3,2026-04-20,34800,MIT,12,,,2026-05-03T19:14:01+00:00
mathiasbynens/jsesc,gh/10498729,2.1,2026-04-20,240020,MIT,24,,,2026-05-03T19:14:02+00:00
mathiasbynens/punycode.js,gh/2755924,3.2,2026-04-20,414051,MIT,48,,,2026-05-03T19:14:02+00:00
mathiasbynens/regenerate,gh/10182772,2.1,2026-04-20,148701,MIT,6,,,2026-05-03T19:14:02+00:00
mathiasbynens/regexpu-core,gh/49437324,3.5,2026-04-20,107643,MIT,4,,,2026-05-03T19:14:02+00:00
mathiasbynens/unicode-canonical-property-names-ecmascript,gh/88346537,2.8,2026-04-20,110163,MIT,1,,,2026-05-03T19:14:03+00:00
mathiasbynens/unicode-property-aliases-ecmascript,gh/88333533,2.8,2026-04-20,110163,MIT,0,,,2026-05-03T19:14:03+00:00
matklad/once_cell,gh/143220272,4.6,2026-04-20,63838,Apache-2.0,6,,,2026-05-03T19:14:03+00:00
matplotlib/matplotlib,gh/1385122,9.1,2026-04-20,49245,,1501,,,2026-05-03T19:14:04+00:00
mcavage/node-assert-plus,gh/4767976,2.9,2026-04-20,227020,MIT,12,,,2026-05-03T19:14:04+00:00
mcollina/fastq,gh/37368217,4.2,2026-04-20,187530,non-standard,21,,,2026-05-03T19:14:04+00:00
mcollina/reusify,gh/42106515,3.9,2026-04-20,189924,MIT,5,,,2026-05-03T19:14:04+00:00
mdn/data,gh/70901646,7.2,2026-05-04,1055,non-standard,37,,,2026-05-17T23:42:54+00:00
medikoo/d,gh/10817569,2.8,2026-04-20,113525,non-standard,6,,,2026-05-03T19:14:05+00:00
medikoo/es5-ext,gh/1792941,3.1,2026-04-20,227076,non-standard,46,,,2026-05-03T19:14:05+00:00
medikoo/es6-symbol,gh/14423385,3.1,2026-04-20,113480,non-standard,2,,,2026-05-03T19:14:05+00:00
medikoo/type,gh/177198492,3.2,2026-04-20,113662,non-standard,5,,,2026-05-03T19:14:05+00:00
mhammond/pywin32,gh/108187130,4.8,2026-04-20,1107,,395,,,2026-05-03T19:14:05+00:00
micheles/decorator,gh/14656555,4.1,2026-04-20,23174,non-standard,13,,,2026-05-03T19:14:06+00:00
micromark/micromark,gh/157420458,3.6,2026-04-20,281631,MIT,10,,,2026-05-03T19:14:15+00:00
micromatch/anymatch,gh/11458302,3.5,2026-04-20,189896,non-standard,8,,,2026-05-03T19:14:06+00:00
micromatch/braces,gh/25475303,3.8,2026-04-20,291243,MIT,4,,,2026-05-03T19:14:06+00:00
micromatch/is-extglob,gh/31788841,3,2026-05-04,,MIT,0,,,2026-05-17T23:42:54+00:00
micromatch/is-glob,gh/28179425,3.6,2026-04-20,316570,MIT,2,,,2026-05-03T19:14:07+00:00
micromatch/micromatch,gh/27359938,3.7,2026-04-20,222918,MIT,44,,,2026-05-03T19:14:15+00:00
micromatch/picomatch,gh/156211895,6.2,2026-04-20,135403,MIT,43,,,2026-05-03T19:14:15+00:00
micromatch/to-regex-range,gh/40355891,3,2026-04-20,294991,MIT,9,,,2026-05-03T19:14:15+00:00
microsoft/tslib,gh/34414315,7,2026-04-20,1452364,non-standard,60,,,2026-05-03T19:14:16+00:00
microsoft/typescript,gh/20929025,7.9,2026-04-20,4424,Apache-2.0,5036,,,2026-05-03T19:14:16+00:00
microsoft/windows-rs,gh/208102250,5.4,2026-04-20,223540,Apache-2.0,42,,,2026-05-03T19:14:18+00:00
minimistjs/minimist,gh/549230701,5.3,2026-04-20,578963,MIT,14,,,2026-05-03T19:14:16+00:00
mitsuhiko/insta,gh/165561258,4,2026-04-20,13,Apache-2.0,75,,,2026-05-03T19:14:16+00:00
mlocati/gettext-iconv-windows,gh/12751919,,,,,,,,2026-05-03T19:14:17+00:00
mm2/little-cms,gh/507969,6.4,2026-04-20,,MIT,10,,,2026-05-03T19:14:17+00:00
moment/moment,gh/1424470,3.1,2026-04-20,173549,MIT,296,,,2026-05-03T19:14:17+00:00
more-itertools/more-itertools,gh/4144530,5,2026-04-20,18879,MIT,8,,,2026-05-03T19:14:18+00:00
motdotla/dotenv,gh/11205780,4.4,2026-04-20,18626,non-standard,2,,,2026-05-03T19:14:18+00:00
moxystudio/node-cross-spawn,gh/21335844,3.2,2026-04-20,303406,MIT,32,,,2026-05-03T19:14:18+00:00
mozilla/source-map,gh/2014930,4.2,2026-04-20,99143,non-standard,65,,,2026-05-03T19:14:19+00:00
mrabarnett/mrab-regex,gh/309446978,4.9,2026-04-20,29140,non-standard,77,,,2026-05-03T19:14:19+00:00
mrmlnc/fast-glob,gh/77467076,3.2,2026-04-20,169714,MIT,41,,,2026-05-03T19:14:19+00:00
msgpack/msgpack-python,gh/2242705,5,2026-04-20,14482,non-standard,10,,,2026-05-03T19:14:19+00:00
mvdnes/spin-rs,gh/21686666,5.5,2026-04-20,309,MIT,11,,,2026-05-03T19:14:20+00:00
mysticatea/abort-controller,gh/105228556,2.1,2026-04-20,119972,MIT,24,,,2026-05-03T19:14:20+00:00
mysticatea/event-target-shim,gh/31137469,3,2026-04-20,927,MIT,29,,,2026-05-03T19:14:20+00:00
netflix/vmaf,gh/51317975,2.8,2026-05-04,,non-standard,96,,,2026-05-17T23:42:55+00:00
nghttp2/nghttp2,gh/11452676,6.3,2026-04-20,,non-standard,48,in_progress,96,2026-05-03T19:14:20+00:00
nicolo-ribaudo/babel-preset-current-node-syntax,gh/253327079,2.9,2026-04-20,63533,MIT,2,,,2026-05-03T19:14:21+00:00
nlnetlabs/unbound,gh/94195301,5.8,2026-04-20,,BSD-3-Clause,358,,,2026-05-03T19:14:21+00:00
node-fetch/fetch-blob,gh/186960326,3.3,2026-04-20,80,MIT,8,,,2026-05-03T19:14:37+00:00
node-fetch/node-fetch,gh/29849956,4.9,2026-04-20,37966,MIT,241,,,2026-05-03T19:14:37+00:00
nodeca/argparse,gh/4325614,3.2,2026-04-20,171345,non-standard,9,,,2026-05-03T19:14:37+00:00
nodeca/js-yaml,gh/2504175,3.9,2026-04-20,146297,MIT,71,,,2026-05-03T19:14:37+00:00
nodeca/pako,gh/16231859,4.9,2026-04-20,17361,MIT,28,,,2026-05-03T19:14:37+00:00
nodejs/node,gh/27193779,6.2,2026-05-04,,non-standard,2678,passing,164,2026-05-17T23:43:03+00:00
nodejs/readable-stream,gh/5187096,5,2026-04-20,47655,non-standard,17,,,2026-05-03T19:14:38+00:00
nodejs/string_decoder,gh/95052330,3.4,2026-04-20,358363,non-standard,7,,,2026-05-03T19:14:38+00:00
nodejs/undici,gh/133092972,7.9,2026-04-20,725,MIT,342,,,2026-05-03T19:14:38+00:00
nodelib/nodelib,gh/129310478,3.1,2026-04-20,183,MIT,7,,,2026-05-03T19:14:39+00:00
npm/abbrev-js,gh/554893,,,4687,non-standard,0,,,2026-05-03T19:14:39+00:00
npm/cacache,gh/193812470,6.2,2026-04-20,3705,non-standard,9,,,2026-05-03T19:14:39+00:00
npm/fs-minipass,gh/102982143,4.7,2026-04-20,32679,non-standard,3,,,2026-05-03T19:14:39+00:00
npm/hosted-git-info,gh/25002984,5.7,2026-04-20,6217,non-standard,7,,,2026-05-03T19:14:40+00:00
npm/inflight,gh/19442260,2.9,2026-04-20,556698,,0,,,2026-05-03T19:14:40+00:00
npm/ini,gh/2167680,5.5,2026-04-20,12055,non-standard,18,,,2026-05-03T19:14:40+00:00
npm/json-parse-even-better-errors,gh/211384370,5.7,2026-04-20,3380,non-standard,1,,,2026-05-03T19:14:40+00:00
npm/mute-stream,gh/5159166,5.6,2026-04-20,6031,non-standard,0,,,2026-05-03T19:14:41+00:00
npm/node-semver,gh/1357199,6,2026-04-20,388525,non-standard,44,,,2026-05-03T19:14:41+00:00
npm/node-which,gh/2169708,5.7,2026-04-20,6358,non-standard,8,,,2026-05-03T19:14:41+00:00
npm/nopt,gh/1544436,5.5,2026-04-20,4626,non-standard,12,,,2026-05-03T19:14:42+00:00
npm/normalize-package-data,gh/9301720,5.6,2026-04-20,1709,non-standard,18,,,2026-05-03T19:14:42+00:00
npm/ssri,gh/193817839,5.3,2026-04-20,3973,non-standard,1,,,2026-05-03T19:14:42+00:00
npm/unique-slug,gh/35246620,5.6,2026-04-20,263,non-standard,1,,,2026-05-03T19:14:42+00:00
npm/wrappy,gh/24208073,3.7,2026-04-20,803442,non-standard,6,,,2026-05-03T19:14:43+00:00
npm/write-file-atomic,gh/23896209,6.1,2026-04-20,2741,non-standard,14,,,2026-05-03T19:14:43+00:00
numpy/numpy,gh/908607,7.4,2026-04-20,142967,non-standard,2368,,,2026-05-03T19:14:43+00:00
nv/cssom,gh/1025209,2.1,2026-04-20,6757,MIT,25,,,2026-05-03T19:14:47+00:00
nvzqz/static-assertions,gh/100129252,,,,,,,,2026-05-17T23:43:03+00:00
nvzqz/static-assertions-rs,gh/100129252,2.8,2026-04-20,7785,Apache-2.0,36,,,2026-05-03T19:14:47+00:00
oauthlib/oauthlib,gh/2811323,8.2,2026-04-20,12422,BSD-3-Clause,104,,,2026-05-03T19:14:47+00:00
octokit/openapi-types.ts,gh/304109193,6.4,2026-04-20,2091,MIT,12,,,2026-05-03T19:14:48+00:00
octokit/types.ts,gh/216109757,6.1,2026-04-20,2089,MIT,20,,,2026-05-03T19:14:48+00:00
oozcitak/xmlbuilder-js,gh/1042809,2,2026-04-20,15765,MIT,7,,,2026-05-03T19:14:48+00:00
open-telemetry/opentelemetry-js,gh/185901023,7.4,2026-04-20,62009,Apache-2.0,242,,,2026-05-03T19:14:50+00:00
open-telemetry/opentelemetry-js-contrib,gh/255986659,8,2026-04-20,8648,Apache-2.0,240,,,2026-05-03T19:14:50+00:00
open-telemetry/opentelemetry-python,gh/185478926,7.6,2026-04-20,41889,Apache-2.0,443,passing,107,2026-05-03T19:14:49+00:00
open-telemetry/opentelemetry-python-contrib,gh/220524743,7.4,2026-05-04,3928,Apache-2.0,617,,,2026-05-17T23:43:04+00:00
openssl/openssl,gh/7634677,6.3,2026-04-20,,Apache-2.0,1608,passing,105,2026-05-03T19:14:48+00:00
opensuse/ca-certificates,gh/10785433,,,,,,,,2026-05-03T19:14:49+00:00
p11-glue/p11-kit,gh/12060420,,,,non-standard,77,passing,113,2026-05-03T19:14:49+00:00
pallets/click,gh/19103692,6.9,2026-04-20,118190,BSD-3-Clause,137,,,2026-05-03T19:14:49+00:00
pallets/flask,gh/596892,7.1,2026-04-20,11673,BSD-3-Clause,3,,,2026-05-03T19:14:50+00:00
pallets/itsdangerous,gh/1945034,5.5,2026-04-20,19075,BSD-3-Clause,1,,,2026-05-03T19:14:50+00:00
pallets/jinja,gh/994551,5.6,2026-04-20,61375,BSD-3-Clause,97,,,2026-05-03T19:14:51+00:00
pallets/markupsafe,gh/734244,5.6,2026-04-20,68874,BSD-3-Clause,12,,,2026-05-03T19:14:51+00:00
pallets/werkzeug,gh/997338,6,2026-04-20,17905,BSD-3-Clause,3,,,2026-05-03T19:14:51+00:00
pandas-dev/pandas,gh/858127,6.8,2026-04-20,67877,BSD-3-Clause,3418,,,2026-05-03T19:14:52+00:00
paramiko/paramiko,gh/119609,4.2,2026-04-20,3369,LGPL-2.1,1159,,,2026-05-03T19:14:52+00:00
paulmillr/chokidar,gh/4090287,4.2,2026-04-20,31752,MIT,38,,,2026-05-03T19:14:52+00:00
paulmillr/readdirp,gh/4494405,3.4,2026-04-20,31853,MIT,2,,,2026-05-03T19:14:52+00:00
pcre2project/pcre2,gh/398251321,8.4,2026-04-20,,non-standard,50,,,2026-05-03T19:14:52+00:00
pest-parser/pest,gh/56964647,5.9,2026-04-20,15646,Apache-2.0,70,,,2026-05-03T19:14:53+00:00
peternator7/strum,gh/80964373,4.6,2026-04-20,196,MIT,65,,,2026-05-03T19:14:53+00:00
petkaantonov/bluebird,gh/12670444,2,2026-04-20,176032,MIT,128,,,2026-05-03T19:15:01+00:00
pexpect/ptyprocess,gh/24727748,3.4,2026-04-20,18275,non-standard,20,,,2026-05-03T19:15:01+00:00
pillarjs/encodeurl,gh/60721766,5.4,2026-04-20,271897,MIT,10,,,2026-05-03T19:15:02+00:00
pillarjs/finalhandler,gh/20547377,6.9,2026-04-20,63477,MIT,13,,,2026-05-03T19:15:02+00:00
pillarjs/iconv-lite,gh/2743221,,,177672,MIT,52,,,2026-05-03T19:15:02+00:00
pillarjs/parseurl,gh/17533192,5.3,2026-04-20,314670,MIT,13,,,2026-05-03T19:15:02+00:00
pillarjs/path-to-regexp,gh/5265803,7,2026-04-20,67580,MIT,8,,,2026-05-03T19:15:03+00:00
pillarjs/send,gh/4879977,6.8,2026-04-20,65900,MIT,23,,,2026-05-03T19:15:03+00:00
pkgconf/pkgconf,gh/4180110,4.7,2026-04-20,,non-standard,8,,,2026-05-03T19:15:03+00:00
pnggroup/libpng,gh/3768025,,,,non-standard,185,,,2026-05-17T23:43:03+00:00
postcss/postcss,gh/13078968,6,2026-04-20,206012,MIT,28,,,2026-05-03T19:15:03+00:00
postcss/postcss-selector-parser,gh/36500102,3.6,2026-04-20,63413,MIT,37,,,2026-05-03T19:15:04+00:00
prettier/prettier,gh/75104123,6.8,2026-04-20,13097,MIT,1475,,,2026-05-03T19:15:04+00:00
primus/eventemitter3,gh/13100677,2.9,2026-04-20,64842,MIT,21,,,2026-05-03T19:15:04+00:00
proptest-rs/proptest,gh/94702898,,,2270,Apache-2.0,139,,,2026-05-03T19:15:04+00:00
protobufjs/protobuf.js,gh/8507859,6.2,2026-05-04,1646,non-standard,653,,,2026-05-17T23:43:04+00:00
protocolbuffers/protobuf,gh/23357588,5.2,2026-05-04,18109,non-standard,274,,,2026-05-17T23:43:04+00:00
psf/requests,gh/1362490,8,2026-04-20,162573,Apache-2.0,228,,,2026-05-03T19:15:05+00:00
psycopg/psycopg2,gh/7730829,4.6,2026-04-20,6139,non-standard,24,,,2026-05-03T19:15:05+00:00
pvorb/clone,gh/2317381,3.3,2026-05-04,,MIT,29,,,2026-05-17T23:43:04+00:00
pvorb/node-clone,gh/2317381,3.3,2026-04-20,73483,MIT,29,,,2026-05-03T19:15:05+00:00
py4j/py4j,gh/1045976,3.1,2026-04-20,1198,non-standard,186,passing,107,2026-05-03T19:15:06+00:00
pyasn1/pyasn1,gh/512723255,6.5,2026-04-20,20665,non-standard,28,,,2026-05-03T19:15:06+00:00
pyasn1/pyasn1-modules,gh/512723354,,,16971,non-standard,5,,,2026-05-03T19:15:06+00:00
pyca/bcrypt,gh/9993757,5.9,2026-04-20,7918,Apache-2.0,9,,,2026-05-03T19:15:06+00:00
pyca/cryptography,gh/11939484,8.5,2026-04-20,61408,non-standard,48,,,2026-05-03T19:15:07+00:00
pyca/pynacl,gh/8350032,7.5,2026-04-20,7654,Apache-2.0,54,,,2026-05-03T19:15:07+00:00
pyca/pyopenssl,gh/15778059,5.9,2026-04-20,4508,Apache-2.0,89,,,2026-05-03T19:15:07+00:00
pydantic/pydantic,gh/90194616,6.7,2026-04-20,89080,MIT,559,,,2026-05-03T19:15:07+00:00
pydantic/typing-inspection,gh/930576948,,,92799,MIT,6,,,2026-05-03T19:15:15+00:00
pygments/pygments,gh/205564111,6.1,2026-04-20,102834,non-standard,604,,,2026-05-03T19:15:15+00:00
pypa/distlib,gh/436970140,,,3767,non-standard,19,,,2026-05-03T19:15:16+00:00
pypa/packaging,gh/19837758,8.8,2026-04-20,138534,non-standard,95,,,2026-05-03T19:15:16+00:00
pypa/pip,gh/1446467,6.9,2026-04-20,4356,MIT,1052,in_progress,84,2026-05-03T19:15:16+00:00
pypa/setuptools,gh/54980593,4.7,2026-04-20,43884,MIT,643,,,2026-05-03T19:15:16+00:00
pypa/virtualenv,gh/1446474,5.9,2026-04-20,3023,MIT,2,,,2026-05-03T19:15:17+00:00
pypa/wheel,gh/98346885,5.4,2026-04-20,8119,MIT,9,,,2026-05-03T19:15:17+00:00
pyparsing/pyparsing,gh/91262163,6.2,2026-04-20,65489,MIT,38,,,2026-05-03T19:15:17+00:00
pytest-dev/iniconfig,gh/66012563,,,17963,MIT,0,,,2026-05-03T19:15:17+00:00
pytest-dev/pluggy,gh/34739117,6,2026-04-20,21584,MIT,60,,,2026-05-03T19:15:18+00:00
pytest-dev/pytest,gh/37489525,6,2026-04-20,14096,MIT,998,,,2026-05-03T19:15:18+00:00
python-attrs/attrs,gh/29918975,9.1,2026-04-20,92932,MIT,139,passing,113,2026-05-03T19:15:18+00:00
python-cffi/cffi,gh/696427398,5.2,2026-04-20,82847,non-standard,45,,,2026-05-03T19:15:19+00:00
python-greenlet/greenlet,gh/3003137,4.8,2026-04-20,26791,non-standard,21,,,2026-05-03T19:15:19+00:00
python-hyper/brotlicffi,gh/43543393,5.4,2026-04-20,47,MIT,13,,,2026-05-03T19:15:19+00:00
python-hyper/h11,gh/57372073,4.4,2026-04-20,90269,MIT,37,,,2026-05-03T19:15:19+00:00
python-jsonschema/jsonschema,gh/3072629,7.6,2026-04-20,44728,MIT,52,,,2026-05-03T19:15:20+00:00
python-jsonschema/referencing,gh/569027868,6.7,2026-04-20,46337,MIT,17,,,2026-05-03T19:15:20+00:00
python-pillow/pillow,gh/5171600,8.2,2026-05-04,80569,non-standard,130,,,2026-05-17T23:43:05+00:00
python-poetry/poetry,gh/123303402,2.8,2026-05-04,279,MIT,555,,,2026-05-17T23:43:05+00:00
python-poetry/poetry-core,gh/238972646,5.8,2026-04-20,,MIT,22,,,2026-05-03T19:15:20+00:00
python-poetry/tomlkit,gh/140365570,,,6382,MIT,38,,,2026-05-03T19:15:20+00:00
python-trio/sniffio,gh/142657210,4.5,2026-04-20,32648,non-standard,12,,,2026-05-03T19:15:21+00:00
python/importlib_metadata,gh/306448340,5.7,2026-04-20,44301,,12,,,2026-05-03T19:15:21+00:00
python/importlib_resources,gh/306147182,5.2,2026-04-20,14062,,7,,,2026-05-03T19:15:21+00:00
python/mypy,gh/7053637,6.9,2026-04-20,1427,non-standard,3138,,,2026-05-03T19:15:21+00:00
python/mypy_extensions,gh/165752308,5.7,2026-05-04,12798,non-standard,7,,,2026-05-17T23:43:05+00:00
python/typeshed,gh/31696383,5.7,2026-04-20,3194,non-standard,363,,,2026-05-03T19:15:38+00:00
python/typing,gh/24604008,7.2,2026-04-20,1467,non-standard,224,,,2026-05-03T19:15:37+00:00
python/typing_extensions,gh/494077289,8.5,2026-05-04,250077,non-standard,24,,,2026-05-17T23:43:06+00:00
python/tzdata,gh/242158882,5.4,2026-04-20,28373,non-standard,7,,,2026-05-03T19:15:37+00:00
qix-/color-convert,gh/1874305,3.3,2026-04-20,51001,MIT,18,,,2026-05-03T19:15:37+00:00
qix-/node-error-ex,gh/41388258,2.1,2026-04-20,305869,MIT,2,,,2026-05-03T19:15:38+00:00
qix-/node-is-arrayish,gh/41376759,2.1,2026-04-20,73192,MIT,0,,,2026-05-03T19:15:38+00:00
qt/qt5,gh/9880318,3,2026-04-20,,,1,,,2026-05-03T19:15:38+00:00
radix-ui/primitives,gh/273499522,3.2,2026-04-20,864506,MIT,801,,,2026-05-03T19:15:42+00:00
raszi/node-tmp,gh/2313213,3.5,2026-04-20,31554,MIT,11,,,2026-05-03T19:15:39+00:00
raynos/for-each,gh/6006855,3.4,2026-04-20,349479,MIT,0,,,2026-05-03T19:15:39+00:00
raynos/function-bind,gh/10727014,4.5,2026-04-20,1102752,MIT,1,,,2026-05-03T19:15:39+00:00
raynos/xtend,gh/4419184,2.8,2026-04-20,330720,MIT,0,,,2026-05-03T19:15:39+00:00
rayon-rs/either,gh/42479602,,,35413,Apache-2.0,19,,,2026-05-03T19:15:40+00:00
rayon-rs/rayon,gh/24725038,4.5,2026-04-20,29595,Apache-2.0,217,,,2026-05-03T19:15:40+00:00
reactivex/rxjs,gh/32247847,5.3,2026-04-20,145630,Apache-2.0,294,,,2026-05-03T19:15:40+00:00
realpython/pytest-mypy,gh/69576530,,,5,MIT,8,,,2026-05-03T19:15:40+00:00
remix-run/react-router,gh/19872456,5.1,2026-04-20,49954,MIT,163,,,2026-05-03T19:15:41+00:00
remusao/tldts,gh/97631656,4.2,2026-04-20,29712,MIT,19,,,2026-05-03T19:15:41+00:00
requests/requests-oauthlib,gh/6825724,4.3,2026-04-20,10555,non-standard,125,,,2026-05-03T19:15:41+00:00
requests/toolbelt,gh/15515181,4.7,2026-04-20,15149,non-standard,93,,,2026-05-03T19:15:41+00:00
retep998/winapi-rs,gh/23853482,2.5,2026-04-20,177834,Apache-2.0,272,,,2026-05-03T19:15:42+00:00
rich-harris/estree-walker,gh/33668779,2.1,2026-04-20,14749,MIT,10,,,2026-05-03T19:15:42+00:00
rich-harris/magic-string,gh/26143240,3.1,2026-04-20,84031,MIT,29,,,2026-05-03T19:15:42+00:00
rob--w/proxy-from-env,gh/52038793,3.9,2026-04-20,153752,MIT,7,,,2026-05-03T19:15:43+00:00
rogdham/backports.zstd,gh/977687927,,,1720,non-standard,1,,,2026-05-17T23:43:06+00:00
rollup/plugins,gh/203607977,4.3,2026-04-20,29051,MIT,39,,,2026-05-03T19:15:43+00:00
ronaldoussoren/pyobjc,gh/243933900,3.5,2026-04-20,11846,,92,,,2026-05-03T19:15:52+00:00
rust-cli/anstyle,gh/493821282,,,5213,,,,,2026-05-03T19:15:47+00:00
rust-cli/env_logger,gh/96382888,6.2,2026-04-20,2416,Apache-2.0,46,,,2026-05-03T19:15:43+00:00
rust-embedded/critical-section,gh/365854323,4.2,2026-04-20,1776,Apache-2.0,2,,,2026-05-03T19:15:47+00:00
rust-fuzz/arbitrary,gh/90591032,4.4,2026-04-20,1379,Apache-2.0,36,,,2026-05-03T19:15:47+00:00
rust-itertools/itertools,gh/22360263,5.4,2026-04-20,1835,Apache-2.0,180,,,2026-05-03T19:15:48+00:00
rust-lang-nursery/lazy-static.rs,gh/21157492,5.5,2026-04-20,42497,Apache-2.0,35,,,2026-05-03T19:15:48+00:00
rust-lang/cc-rs,gh/26039547,7.3,2026-04-20,81343,Apache-2.0,160,,,2026-05-03T19:15:48+00:00
rust-lang/cfg-if,gh/38723660,3.9,2026-04-20,80588,Apache-2.0,6,,,2026-05-03T19:15:48+00:00
rust-lang/compiler-builtins,gh/65153793,6.1,2026-04-20,5561,non-standard,61,,,2026-05-03T19:15:48+00:00
rust-lang/flate2-rs,gh/21954009,6.7,2026-04-20,6451,Apache-2.0,28,,,2026-05-03T19:15:49+00:00
rust-lang/futures-rs,gh/55077261,6.6,2026-04-20,195266,Apache-2.0,271,,,2026-05-03T19:15:49+00:00
rust-lang/glob,gh/23241722,4.3,2026-04-20,11692,Apache-2.0,46,,,2026-05-03T19:15:49+00:00
rust-lang/hashbrown,gh/155119796,5.6,2026-04-20,22439,Apache-2.0,79,,,2026-05-03T19:15:50+00:00
rust-lang/libc,gh/29197565,5.6,2026-04-20,90382,Apache-2.0,208,,,2026-05-03T19:15:50+00:00
rust-lang/libz-sys,gh/26042019,5.8,2026-04-20,3150,Apache-2.0,26,,,2026-05-03T19:15:50+00:00
rust-lang/log,gh/27974762,6.8,2026-04-20,55080,Apache-2.0,21,,,2026-05-03T19:15:50+00:00
rust-lang/pkg-config-rs,gh/26042035,4.4,2026-04-20,19825,Apache-2.0,39,,,2026-05-03T19:15:51+00:00
rust-lang/regex,gh/27890669,6.2,2026-04-20,1718,Apache-2.0,62,,,2026-05-03T19:15:51+00:00
rust-lang/rust,gh/724712,7.1,2026-04-20,172,Apache-2.0,12317,,,2026-05-03T19:15:51+00:00
rust-lang/tempdir,gh/31728565,3,2026-04-20,2254,Apache-2.0,2,,,2026-05-03T19:15:51+00:00
rust-num/num-traits,gh/114705611,4,2026-04-20,48741,Apache-2.0,106,,,2026-05-03T19:15:52+00:00
rust-phf/rust-phf,gh/15992970,5.7,2026-04-20,1619,MIT,27,,,2026-05-03T19:15:52+00:00
rust-random/getrandom,gh/166545969,7,2026-04-20,0,Apache-2.0,11,,,2026-05-03T19:15:52+00:00
rust-random/rand,gh/30227790,6.1,2026-04-20,1303,non-standard,16,,,2026-05-03T19:15:53+00:00
rust-random/rand_core,gh/1086593277,,,1323,Apache-2.0,2,,,2026-05-03T19:15:53+00:00
rust-random/rngs,gh/209510094,4.4,2026-04-20,33,non-standard,8,,,2026-05-03T19:16:01+00:00
rustcrypto/formats,gh/406051759,5.4,2026-04-20,2181,,57,,,2026-05-03T19:16:02+00:00
rustcrypto/hashes,gh/74106774,4.8,2026-04-20,806,,31,,,2026-05-03T19:16:01+00:00
rustcrypto/stream-ciphers,gh/83051505,5,2026-04-20,15,,6,,,2026-05-03T19:16:01+00:00
rustcrypto/traits,gh/85605821,5.2,2026-04-20,2675,,50,,,2026-05-03T19:16:02+00:00
rustcrypto/utils,gh/77307442,4.6,2026-04-20,15907,,27,,,2026-05-03T19:16:03+00:00
rvagg/bl,gh/10706095,4.4,2026-04-20,41,non-standard,1,,,2026-05-03T19:16:02+00:00
rvagg/prr,gh/9151864,2.1,2026-04-20,98540,MIT,0,,,2026-05-03T19:16:02+00:00
rvagg/through2,gh/11808187,2.9,2026-04-20,14582,MIT,6,,,2026-05-03T19:16:03+00:00
ryanzim/universalify,gh/87651180,2.9,2026-04-20,204196,MIT,1,,,2026-05-03T19:16:03+00:00
salesforce/tough-cookie,gh/2606873,6.6,2026-04-20,14457,BSD-3-Clause,40,,,2026-05-03T19:16:03+00:00
samn/json-stable-stringify,gh/76598131,1.9,2026-04-20,111300,non-standard,1,,,2026-05-03T19:16:04+00:00
samverschueren/decode-uri-component,gh/91837954,3.6,2026-04-20,2705,MIT,7,,,2026-05-03T19:16:04+00:00
